"Term","Category Code","Category Name","Example Tweet Text"
"{Number} child","C01","Children's well being and education","Help children recover from trauma #Philippines Give $30 for 1 child and share for many more! http://t.co/Hk1yaH2eaQ #DT @operationSAFE"
"{Number} families","C01","Children's well being and education","Text GIVE 12696 to 80088 to donate $10 to help 5000 Families affected by Typhoon #Bopha in the #Philippines: http://t.co/8dccO6lI"
"{Number} million children effected","C01","Children's well being and education","RT @VanessaHudgens: Last Estimate : 4 million children effected. #Philippines"
"{Number} schools next to fertilizer plant","C01","Children's well being and education","RT @markos: The wonder of libertarian zoning laws, West, Texas edition http://t.co/B79tF0geJE. TWO schools next to fertilizer plant"
"@savethechildren","C01","Children's well being and education","RT @SavetheChildren: Large #earthquake strikes #Philippines, our aid workers are ready to respond if needed: http://t.co/E8JSI1rzSn"
"adoption","C01","Children's well being and education","RT @wfaachannel8: 70 animals coming to North Texas for adoption following explosion http://t.co/LiYVUbpIWH"
"affected families","C01","Children's well being and education","RT @WorldVisionPH: Bring urgent help to #MaringPH affected families. You can donate online http://t.co/U6W3SAYzXX #reliefPH http://t.co/G4O…"
"at least {Number} of the injured are children","C01","Children's well being and education","RT @cnnbrk: Injuries in #Boston Marathon terror attack now at 183; 23 critical; at least 9 of the injured are children. http://t.co/9YZV ..."
"authorities advising children","C01","Children's well being and education","RT @ChannelNewsAsia: #SGHAZE: 10am PSI is 121 in #Singapore, in unhealthy range. Authorities advising children, older adults to stay indoors"
"babies","C01","Children's well being and education","They are illegal in Colorado Springs! =) RT @KennyKingz: This is America..if we want to give our babies sparklers to play with we will"
"babies born {Number} months","C01","Children's well being and education","Would it be considered good form to name any babies born nine months from now Stormageddon? #stormTO #doctorwho"
"babies rescued","C01","Children's well being and education","RT @MaeAbi: #earthquake aftermath. Babies rescued from the ICU. Picture by Ann Guevarra. #PrayForVisayas http://t.co/PmLaZ6sNCa"
"babies'll","C01","Children's well being and education","RT @esashamartinez: @saabmagalona Napadala na raw Red Cross sa UERM, as tweeted by @doblezeta of @MMDA. Babies'll be safe. #yay #RescuePH"
"baby","C01","Children's well being and education","#rescuePH @mmda @ANCALERTS @ABSCBNNews @gmanews @Awesomesaucex3 INDIVIDUAL WITH A 3 MONTH OLD BABY IS IN NEED (cont) http://t.co/KQo90VOW"
"baby born in tent","C01","Children's well being and education","RT @BBCWorld: Baby born in tent after mother treks through Philippines quake rubble http://t.co/IcElmALzVE &amp; http://t.co/LO2Q43BA7D"
"baby needs milk","C01","Children's well being and education","RT @niqueeyg: FRANCIS PELAYO;Bl5 lt6 eissenhower st,mcarthur vill, longos,malolos,bulacan. Baby needs milk.Flood is chest deep. #RescuePH"
"can help children","C01","Children's well being and education","RT @eddieizzard: You can help children affected by Typhoon #Haiyan by texting UNICEF to 70123 to give £3"
"cancelled due","C01","Children's well being and education","Final exams are cancelled due to the flooding! The only good thing it brought :D bless Calgary hallelujah 😎"
"cancelled due to strong winds","C01","Children's well being and education","RT @abcwidebay: Sunshine Coast Airport has been closed today. All flights in and out are cancelled due to strong winds #QLD #bigwet"
"children","C01","Children's well being and education","@UNICEF . Children suffering from epidemics of communicable infectious diseases in flood hit areas of Pakistan."
"classes are caneled because of","C01","Children's well being and education","Afternoon classes are caneled because of Typhoon Pablo.."
"classes are suspended","C01","Children's well being and education","typhoon PABLO is now hitting us... classes are suspended :D"
"collapse families search trucks hauling debris","C01","Children's well being and education","RT @HuffingtonPost: Bangladesh factory collapse families search trucks hauling debris for uncounted dead http://t.co/OtZHvuEMGi"
"colleges","C01","Children's well being and education","Colorado colleges pick up the pieces after flooding http://t.co/I9NedJfUiD"
"displaced families","C01","Children's well being and education","#HighParkFire #OwlsNestProject Displaced families need basic, household items. https://t.co/oDiyp3yJ @TMHRealEstate Please join our efforts"
"donate to #highparkfire families","C01","Children's well being and education","RT @COEmergency: Want to donate to #HighParkFire families? Go to http://t.co/lo57JOy8"
"families hit by #floods","C01","Children's well being and education","CWS providing emergency food packages to families hit by #floods in #Pakistan http://t.co/M0NkYU6d01"
"families hit by typhoon","C01","Children's well being and education","RT @xtina: Let’s help families hit by typhoon #haiyan. My friends @WFP are on the ground. Help here http://t.co/ozsD1Qetvu. Thank you! XoXt…"
"families/friends","C01","Children's well being and education","RT @GabrielMacht: Sending love to the victims and their families/friends that were affected by the explosion at the Boston Marathon. Ble ..."
"family center","C01","Children's well being and education","Newsday: Family center established for NYC train derailment  http://t.co/WFF6UIcu2d #nyc"
"family killed","C01","Children's well being and education","Mourners bury family killed in Guatemala quake: SAN CRISTOBAL CUCHO, Guatemala (Reuters) - Ivan Vasquez cried as... http://t.co/IaErS9kb"
"family needs rescue","C01","Children's well being and education","RT @tineabesamisss: #rescuePH PLEASE RT!! Fellow speducator, Jaja Vagilia, and her family needs rescue!! #3 Sampaguita St. IVC Marikina  ..."
"family receive emergency shelter kit","C01","Children's well being and education","RT @Habitat_org: “We can sleep soundly; the rain won’t bother us.” - Janeth Senabre &amp; family receive emergency shelter kit #Haiyan http://t…"
"family reception","C01","Children's well being and education","RT @policescotland: @GlasgowCC opens family reception centre at 40 John Street, G2 1DU assisting public #Clutha #PSHelicopter http://t.co/j…"
"flood affected families","C01","Children's well being and education","@TheEllenShow PLEASE HELP THE #Queensland AUSTRALIA RED CROSS in the flood affected families especially in Bundaberg and Gympie!!! #redcross"
"haze clearing up right before school starts","C01","Children's well being and education","RT @RandoCore: Being poly students, our luck has resulted in the haze clearing up right before school starts. Singapore fucks us over yet a…"
"help children recover from trauma","C01","Children's well being and education","Help children recover from trauma #Philippines Give $30 for 1 child and share for many more! http://t.co/CpFIVUwAcE #DT @operationSAFE"
"hundreds of children","C01","Children's well being and education","RT @9newsmelb: Housing burning, streets closed and schools with hundreds of children caught in the middle. - @DamoNews #NSWfires #9NEWSat6"
"hundreds of families","C01","Children's well being and education","Homes at risk from Colorado wildfire: Hundreds of families took refuge early Monday at a northern Colorado ... http://t.co/OoYTzBfx #CNN"
"hungry children","C01","Children's well being and education","RT @tweetnirizal: Think of the hungry children of Bohol begging for food when you post your dinner on Instagram. #Bohol"
"injured are children","C01","Children's well being and education","RT @cnnbrk: Injuries in #Boston Marathon terror attack now at 183; 23 critical; at least 9 of the injured are children. http://t.co/9YZV ..."
"kids","C01","Children's well being and education","PAKIS RAPE KIDS: New earthquake shakes Guatemala's Pacific coast, one injured: GUATEMALA CITY... http://t.co/57Zltga2 #edl #bnp #bfp #nf"
"kids displaced","C01","Children's well being and education","RT @wfrisch: Going to be rough week on kids displaced from homes. Maybe movie theaters want to host some free kids movies? #yycfloods"
"kids lessons","C01","Children's well being and education","RT @cnalive: Flood teaches stranded kids lessons in faith http://t.co/nr8YWyYfss #COflood #Denver #Catholic #Faith"
"kids movies","C01","Children's well being and education","RT @wfrisch: Going to be rough week on kids displaced from homes. Maybe movie theaters want to host some free kids movies? #yycfloods"
"mayor emano declared no classes","C01","Children's well being and education","RT @vicmadz: #CDO Mayor Emano declared NO CLASSES AT ALL LEVELS this aft (Dec. 3) &amp; whole day tom(Dec. 4) source: Magnum Radio (12:1 ..."
